grade,subject,chapter,step,type,severity,quote,problem
Grade 5,English,1. Papa's Spectacles,Core explanation,TOPIC_MISMATCH,high,"The language tasks ask learners to compare sizes, weights, and numbers, complete pair phrases, and choose correctly spelt words.","This step is about ascending order, number order, pair phrases, and spelling, which is a different topic from the poem 'Papa's Spectacles'."
Grade 5,English,10. Glass Bangles,Concept introduction,FABRICATED_NUMBER,low,The process uses a furnace and careful shaping.,The step does not specify the temperature of the furnace.
Grade 5,English,10. Glass Bangles,Core explanation,FABRICATED_NUMBER,low,Ananya had completed her schooling before she joined the factory.,The step does not specify the age or grade level of Ananya's schooling.
Grade 5,English,10. Glass Bangles,Exam-style problems,ARITHMETIC_ERROR,high,Question: Why is bangle making described as skilled work?,"The final answer is mathematically incorrect: 'Each stage needs control and attention to produce a strong, attractive bangle.'"
Grade 5,English,10. Glass Bangles,Exam-style problems,TOPIC_MISMATCH,medium,Question: Why must the laddu steps be reordered?,"The step is about making besan laddus, not glass bangles."
Grade 5,English,10. Glass Bangles,Revision and recap,FABRICATED_NUMBER,low,Suppose Ravi heats glass in a furnace at 1200°C until it softens.,The step does not specify the time it takes for the glass to soften.
Grade 5,English,10. Glass Bangles,Worked examples,ARITHMETIC_ERROR,high,"Question: If Ravi makes 50 bangles a day, and each takes about 15 minutes, he can produce around 200 bangles in a day.","The calculation is mathematically incorrect: 50 bangles/day * 15 minutes/bangle = 750 minutes/day, not 200 bangles/day."
Grade 5,English,10. Glass Bangles,What We Learn,FABRICATED_NUMBER,low,Suppose Ravi heats glass in a furnace at 1200°C until it softens.,The step does not specify the time it takes for the glass to soften.
Grade 5,English,2. Gone with the Scooter,Core explanation,UNSUPPORTED_CLAIM,low,He says he will ask around instead of keeping the ball.,The story does not explicitly state that Gopi says he will ask around instead of keeping the ball; it only mentions that he decides not to keep it for himself.
Grade 5,English,2. Gone with the Scooter,Recap,UNSUPPORTED_CLAIM,low,"The story emphasizes honesty, sharing, and safety.","While the story does touch on these themes, it does not explicitly emphasize them as the main takeaway."
Grade 5,English,2. Gone with the Scooter,What We Learn,UNSUPPORTED_CLAIM,low,The story teaches us about being honest and careful.,"The story primarily focuses on Gopi's honesty, but it does not explicitly mention being careful as a key lesson."
Grade 5,English,3. The Rainbow,Concept introduction,UNSUPPORTED_CLAIM,low,Boats sail on rivers and ships sail on seas,"This statement is not supported by the source text, which only mentions boats and ships in a general sense."
Grade 5,English,3. The Rainbow,Core explanation,UNSUPPORTED_CLAIM,low,The speaker sounds admiring and delighted,"This interpretation is not supported by the source text, which only presents the poem's content without analysis."
Grade 5,English,3. The Rainbow,Exam-style problems,FABRICATED_NUMBER,low,"The colours are: Violet, Indigo, Blue, Green, Yellow, Orange, Red","The source text does not mention the specific order of the colours, but rather uses the VIBGYOR mnemonic."
