Metric,100 paid subscribers,500 paid subscribers,1000 paid subscribers
Paid subscribers,100,500,1000
Blended ARPU / month,874,874,874
Annual revenue,1048800,5244000,10488000
AI + platform variable cost,456000,2280000,4560000
Payment gateway cost,26220,131100,262200
Marketing and growth,125856,629280,1258560
Support/content operations,360000,900000,1500000
Fixed platform/tools,120000,120000,120000
Total operating cost,1088076,4060380,7700760
Operating profit before investment,-39276,1183620,2787240
Initial investment,600000,600000,600000
Net profit after investment,-639276,583620,2187240
ROI,-106.5%,97.3%,364.5%
Payback estimate,Not recovered,~6.1 months,~2.6 months
