chapter,step,status,cosine,term_coverage_pct,lesson_words,rag_words,rag_available,missing_terms,notes
1. Papa's Spectacles,Recap,GOOD,0.842,95.0,298,387,True,right,Missing key RAG terms: right
1. Papa's Spectacles,What We Learn,GOOD,0.873,90.0,344,387,True,right,Missing key RAG terms: right
1. Papa's Spectacles,Worked Examples,GOOD,0.816,85.0,303,387,True,"pair, lost","Missing key RAG terms: pair, lost"
10. Glass Bangles,Recap,GOOD,0.809,60.0,671,2129,True,"indd, reprint, teacher, santoor, grade, action","Missing key RAG terms: indd, reprint, teacher, santoor, grade, action"
10. Glass Bangles,What We Learn,PARTIAL,0.641,45.0,551,2129,True,"indd, reprint, teacher, santoor, grade, action, first, words","Missing key RAG terms: indd, reprint, teacher, santoor, grade, action; Lesson (551w) much shorter than RAG content (2129w)"
10. Glass Bangles,Worked Examples,PARTIAL,0.747,20.0,487,2129,True,"bangles, glass, chapter, indd, reprint, ravi, ananya, teacher, santoor, grade, designs, words","Missing key RAG terms: bangles, glass, chapter, indd, reprint, ravi; Lesson (487w) much shorter than RAG content (2129w)"
2. Gone with the Scooter,Recap,GOOD,0.588,65.0,568,2070,True,"chapter, indd, reprint, santoor, said, following","Missing key RAG terms: chapter, indd, reprint, santoor, said, following; Lesson (568w) much shorter than RAG content (2070w)"
2. Gone with the Scooter,What We Learn,PARTIAL,0.812,40.0,410,2070,True,"chapter, indd, reprint, santoor, said, goat, time, following","Missing key RAG terms: chapter, indd, reprint, santoor, said, goat; Lesson (410w) much shorter than RAG content (2070w)"
2. Gone with the Scooter,Worked Examples,PARTIAL,0.857,50.0,652,2070,True,"indd, reprint, santoor, said, goat, following","Missing key RAG terms: indd, reprint, santoor, said, goat, following"
3. The Rainbow,Recap,PARTIAL,0.759,40.0,668,1624,True,"chapter, indd, reprint, words, learners, santoor, grade, write, share, following","Missing key RAG terms: chapter, indd, reprint, words, learners, santoor"
3. The Rainbow,What We Learn,PARTIAL,0.797,40.0,833,1624,True,"indd, reprint, learners, santoor, grade, write, share, colours, following","Missing key RAG terms: indd, reprint, learners, santoor, grade, write"
3. The Rainbow,Worked Examples,PARTIAL,0.823,40.0,769,1624,True,"chapter, indd, reprint, learners, santoor, grade, share, colours, following","Missing key RAG terms: chapter, indd, reprint, learners, santoor, grade"
4. The Wise Parrot,Recap,PARTIAL,0.85,50.0,457,1779,True,"indd, reprint, teacher, learners, birds, santoor, grade","Missing key RAG terms: indd, reprint, teacher, learners, birds, santoor; Lesson (457w) much shorter than RAG content (1779w)"
4. The Wise Parrot,What We Learn,PARTIAL,0.802,45.0,532,1779,True,"chapter, indd, reprint, teacher, learners, birds, santoor, grade, words","Missing key RAG terms: chapter, indd, reprint, teacher, learners, birds; Lesson (532w) much shorter than RAG content (1779w)"
4. The Wise Parrot,Worked Examples,PARTIAL,0.64,25.0,486,1779,True,"parrot, bird, merchant, chapter, indd, reprint, teacher, cage, learners, wise, birds, santoor, grade","Missing key RAG terms: parrot, bird, merchant, chapter, indd, reprint; Lesson (486w) much shorter than RAG content (1779w)"
5. The Frog,Recap,PARTIAL,0.653,50.0,500,1103,True,"chapter, indd, reprint, silently, carefully","Missing key RAG terms: chapter, indd, reprint, silently, carefully"
5. The Frog,What We Learn,PARTIAL,0.529,40.0,477,1103,True,"chapter, indd, reprint, silently, words, carefully, write","Missing key RAG terms: chapter, indd, reprint, silently, words, carefully"
5. The Frog,Worked Examples,PARTIAL,0.774,45.0,569,1103,True,"chapter, indd, reprint, silently, write, near","Missing key RAG terms: chapter, indd, reprint, silently, write, near"
6. What a Tank!,Recap,PARTIAL,0.678,45.0,709,1867,True,"chapter, indd, reprint, words, suma, grade, santoor, exclamatory","Missing key RAG terms: chapter, indd, reprint, words, suma, grade"
6. What a Tank!,What We Learn,PARTIAL,0.728,45.0,746,1867,True,"chapter, indd, reprint, words, suma, grade, santoor, exclamatory","Missing key RAG terms: chapter, indd, reprint, words, suma, grade"
6. What a Tank!,Worked Examples,PARTIAL,0.474,30.0,305,1867,True,"water, tank, tanks, chapter, indd, reprint, suma, grade, people, santoor, punjab","Missing key RAG terms: water, tank, tanks, chapter, indd, reprint; Lesson (305w) much shorter than RAG content (1867w)"
7. Gilli Danda,Recap,GOOD,0.81,70.0,550,1660,True,"indd, reprint, following","Missing key RAG terms: indd, reprint, following"
7. Gilli Danda,What We Learn,PARTIAL,0.709,40.0,462,1660,True,"danda, chapter, indd, reprint, game, stick, nouns, abstract, small","Missing key RAG terms: danda, chapter, indd, reprint, game, stick; Lesson (462w) much shorter than RAG content (1660w)"
7. Gilli Danda,Worked Examples,PARTIAL,0.799,50.0,584,1660,True,"chapter, indd, reprint, nouns, following, abstract","Missing key RAG terms: chapter, indd, reprint, nouns, following, abstract"
8. The Decision of the Panchayat,Recap,PARTIAL,0.897,45.0,532,1805,True,"chapter, indd, reprint, neem, tree, neighbour, ramakrishna, santoor, grade, chief","Missing key RAG terms: chapter, indd, reprint, neem, tree, neighbour; Lesson (532w) much shorter than RAG content (1805w)"
8. The Decision of the Panchayat,What We Learn,PARTIAL,0.844,45.0,490,1805,True,"chapter, indd, reprint, neem, tree, ramakrishna, santoor, grade, chief","Missing key RAG terms: chapter, indd, reprint, neem, tree, ramakrishna; Lesson (490w) much shorter than RAG content (1805w)"
8. The Decision of the Panchayat,Worked Examples,PARTIAL,0.889,40.0,634,1805,True,"chapter, indd, reprint, neem, tree, ramakrishna, santoor, grade, chief","Missing key RAG terms: chapter, indd, reprint, neem, tree, ramakrishna"
9. Vocation,Recap,PARTIAL,0.666,20.0,381,1371,True,"vocation, chapter, indd, reprint, teacher, words, questions, speaker, learners, note, santoor, poem, things","Missing key RAG terms: vocation, chapter, indd, reprint, teacher, words; Lesson (381w) much shorter than RAG content (1371w)"
9. Vocation,What We Learn,PARTIAL,0.467,50.0,582,1371,True,"indd, reprint, speaker, learners, santoor, grade, poem","Missing key RAG terms: indd, reprint, speaker, learners, santoor, grade"
9. Vocation,Worked Examples,GOOD,0.645,60.0,736,1371,True,"indd, reprint, learners, santoor, poem, things","Missing key RAG terms: indd, reprint, learners, santoor, poem, things"
Chapter 1: Water — The Essence of Life,Recap,GOOD,0.798,65.0,597,2947,True,"indd, chapter, reprint, activity, world, observe","Missing key RAG terms: indd, chapter, reprint, activity, world, observe; Lesson (597w) much shorter than RAG content (2947w)"
Chapter 1: Water — The Essence of Life,What We Learn,GOOD,0.832,70.0,682,2947,True,"indd, chapter, reprint, activity, world","Missing key RAG terms: indd, chapter, reprint, activity, world; Lesson (682w) much shorter than RAG content (2947w)"
Chapter 1: Water — The Essence of Life,Worked Examples,PARTIAL,0.717,50.0,645,2947,True,"indd, chapter, reprint, activity, freshwater, world, plants","Missing key RAG terms: indd, chapter, reprint, activity, freshwater, world; Lesson (645w) much shorter than RAG content (2947w)"
Chapter 10: Earth — Our Shared Home,Recap,PARTIAL,0.671,55.0,505,3005,True,"indd, reprint, chapter, water, write, journel","Missing key RAG terms: indd, reprint, chapter, water, write, journel; Lesson (505w) much shorter than RAG content (3005w)"
Chapter 10: Earth — Our Shared Home,What We Learn,GOOD,0.714,75.0,632,3005,True,"indd, reprint, write, journel","Missing key RAG terms: indd, reprint, write, journel; Lesson (632w) much shorter than RAG content (3005w)"
Chapter 10: Earth — Our Shared Home,Worked Examples,GOOD,0.726,60.0,569,3005,True,"indd, reprint, chapter, write, journel, birds","Missing key RAG terms: indd, reprint, chapter, write, journel, birds; Lesson (569w) much shorter than RAG content (3005w)"
Chapter 2: Journey of a River,Recap,GOOD,0.758,75.0,541,2579,True,"indd, chapter, reprint, world","Missing key RAG terms: indd, chapter, reprint, world; Lesson (541w) much shorter than RAG content (2579w)"
Chapter 2: Journey of a River,What We Learn,GOOD,0.73,75.0,592,2579,True,"indd, reprint, world, godavari","Missing key RAG terms: indd, reprint, world, godavari; Lesson (592w) much shorter than RAG content (2579w)"
Chapter 2: Journey of a River,Worked Examples,GOOD,0.711,75.0,547,2579,True,"indd, chapter, reprint, world","Missing key RAG terms: indd, chapter, reprint, world; Lesson (547w) much shorter than RAG content (2579w)"
Chapter 3: The Mystery of Food,Recap,PARTIAL,0.633,40.0,520,2703,True,"indd, disha, reprint, world, finding, home, school, write, make","Missing key RAG terms: indd, disha, reprint, world, finding, home; Lesson (520w) much shorter than RAG content (2703w)"
Chapter 3: The Mystery of Food,What We Learn,PARTIAL,0.664,45.0,546,2703,True,"indd, reprint, world, finding, students, home, school, write","Missing key RAG terms: indd, reprint, world, finding, students, home; Lesson (546w) much shorter than RAG content (2703w)"
