NLG INTERNAL AUDIT DELIVERY REVIEW CHECKLIST - NON AGILE
CH-197 Version 2.3
Complete reference for all 81 checklist items (S.No 1-81)

FORMAT: S.No | Title | Question | Look For

=== SECTION A: Project Initiation and Planning (One-Time Activity) ===

1 | MSA/SOW Availability | Does the project have a signed and valid SOW and MSA, or approval for uncontracted work? | SOW/MSA signatures and validity dates. If expired or missing, look for uncontracted work approval or Work Ahead Request.

2 | Agreed Acceptance Criteria | Has DONE/Acceptance criteria been defined and agreed with the customer? | Acceptance criteria in SOW/MSA, or email/MoM evidences, or criteria defined in Software Project Plan (SPP).

3 | Contract Review & Compliance | Has the PM reviewed the contract, raised alerts, and recorded compliance clauses in the Contract Compliance Tracker? | SOW/MSA contractual requirements (ODC, HIPAA, SOC). Alerts raised by PM. Estimation sheet review evidence. All clauses in Contract Compliance Tracker.

4 | Project Scope Definition | Is the project scope well-defined with clarity for execution? | SOW scope description. Clarity for project type (Development/Migration/Maintenance). What defines project success.

5 | Kick-Off Action Items | Are all kick-off actions tracked and closed with stakeholder commitment? | Kick-off Presentation, invitees, Meeting Results, Actions identified, open actions past target date.

6 | Estimation | Is the estimation model aligned with the applicable process model (Agile/Non-Agile)? | Estimation model used and customization. Estimating guideline. Appropriateness for process model (V-Process, Agile, Testing).

7 | Quality Assurance & Control | Do the estimation tasks cover QA, SQA reviews, testing, and rework time? | Tasks in approved estimation sheet. Reviews (SQA, peer), testing tasks, rework time inclusion.

8 | Schedule | Does the project schedule include all tasks, dependencies, and align with the estimation? | Project schedule (MS Project/Excel). Alignment between estimation and schedule. Variations to be assessed.

9 | Operational Process | Is the operational process defined in the SPP with tailoring and customization? | Approved SPP. Operational Process section. CM Plan, Communication Plan, Risk Management Plan, Staffing Plan, BCP, Metrics chosen.

10 | Testing Strategies | Has the project defined a testing strategy and process for all test types? | Test Strategy/Test Plan. Processes for unit testing, system testing, integration testing, defect capture, re-test, reporting.

